year,party,seats,totalSeats
1918,CON2, 382 , 707
1918,LAB, 57 , 707
1918,LD3, 163 , 707
1918,SNP,0, 707
1918,Other,105, 707
1922,CON2, 344 ,615
1922,LAB, 142 ,615
1922,LD3, 115 ,615
1922,SNP,0,615
1922,Other, 14 , 615
1923,CON2, 258 ,615
1923,LAB, 191 ,615
1923,LD3, 158 ,615
1923,SNP,0,615
1923,Other, 8 , 615
1924,CON2, 412 ,615
1924,LAB, 151 ,615
1924,LD3, 40 ,615
1924,SNP, 0 ,615
1924,Other, 12 , 615
1929,CON2, 260 ,615
1929,LAB, 287 ,615
1929,LD3, 59 ,615
1929,SNP, 0 ,615
1929,Other, 9 , 615
1931,CON2, 522 ,615
1931,LAB, 52 ,615
1931,LD3, 36 ,615
1931,SNP, 0 ,615
1931,Other, 5 , 615
1935,CON2, 429 ,615
1935,LAB, 154 ,615
1935,LD3, 21 ,615
1935,SNP, 0 ,615
1935,Other, 11 , 615
1945,CON2, 210 , 640
1945,LAB, 393 , 640
1945,LD3, 12 , 640
1945,SNP, 0 , 640
1945,Other, 25 ,  640
1950,CON2, 298 , 625
1950,LAB, 315 , 625
1950,LD3, 9 , 625
1950,SNP, 0 , 625
1950,Other, 3 ,  625
1951,CON2, 321 , 625
1951,LAB, 295 , 625
1951,LD3, 6 , 625
1951,SNP, 0 , 625
1951,Other, 3 ,  625
1955,CON2, 345 , 630
1955,LAB, 277 , 630
1955,LD3, 6 , 630
1955,SNP, 0 , 630
1955,Other, 2 ,  630
1959,CON2, 365 , 630
1959,LAB, 258 , 630
1959,LD3, 6 , 630
1959,SNP, 0 , 630
1959,Other, 1, 630
1964,CON2, 304 , 630
1964,LAB, 317 , 630
1964,LD3, 9 , 630
1964,SNP, 0 , 630
1964,Other, 0, 630
1966,CON2, 253 , 630
1966,LAB, 364 , 630
1966,LD3, 12 , 630
1966,SNP, 0 , 630
1966,Other, 1 ,  630
1970,CON2, 330 , 630
1970,LAB, 288 , 630
1970,LD3, 6 , 630
1970,SNP, 1 , 630
1970,Other, 5 ,  630
1974-FEB,CON2, 297 , 635
1974-FEB,LAB, 301 , 635
1974-FEB,LD3, 14 , 635
1974-FEB,SNP, 7 , 635
1974-FEB,Other, 14 , 635
1974-OCT,CON2, 277 , 635
1974-OCT,LAB, 319 , 635
1974-OCT,LD3, 13 , 635
1974-OCT,SNP, 11 , 635
1974-OCT,Other, 12 , 635
1979,CON2, 339 , 635
1979,LAB, 269 , 635
1979,LD3, 11 , 635
1979,SNP, 2 , 635
1979,Other, 12 , 635
1983,CON2, 397 , 650
1983,LAB, 209 , 650
1983,LD3, 23 , 650
1983,SNP, 2 , 650
1983,Other, 17 , 650
1987,CON2, 376 , 650
1987,LAB, 229 , 650
1987,LD3, 22 , 650
1987,SNP, 3 , 650
1987,Other, 17 , 650
1992,CON2, 336 , 651
1992,LAB, 271 , 651
1992,LD3, 20 , 651
1992,SNP, 3 , 651
1992,Other, 17 , 651
1997,CON2, 165 , 659
1997,LAB, 418 , 659
1997,LD3, 46 , 659
1997,SNP, 6 , 659
1997,Other, 20 , 659
2001,CON2, 166 , 659
2001,LAB, 412 , 659
2001,LD3, 52 , 659
2001,SNP, 5 , 659
2001,Other, 20 , 659
2005,CON2, 198 , 646
2005,LAB, 355 , 646
2005,LD3, 62 , 646
2005,SNP, 6 , 646
2005,Other, 22 , 646
2010,CON2, 306 , 650
2010,LAB, 258 , 650
2010,LD3, 57 , 650
2010,SNP, 6 , 650
2010,Other, 20 , 650
2015,CON2, 330 , 650
2015,LAB, 232 , 650
2015,LD3, 8 , 650
2015,SNP, 56 , 650
2015,Other, 21 , 650
2017,CON2, 318 , 650
2017,LAB, 262 , 650
2017,LD3, 12 , 650
2017,SNP, 35 , 650
2017,Other, 23 , 650
